Op., WoO, Hess, Biamonti, Title, Key, Date, Scoring, Genre, Comments
 001, NaN, NaN,  062,  Piano Trios (3):, NaN,  1792-94,  vn vc pf,  Chamber, NaN
 001/1, NaN, NaN,  062/1, 
 Piano Trio,  E♭ major,  1792-93,  vn vc pf,  Chamber, NaN
 001/2, NaN, NaN,  062/2, 
 Piano Trio,  G major,  1792-94,  vn vc pf,  Chamber, NaN
 001/3, NaN, NaN,  062/3, 
 Piano Trio,  C minor,  1792-94,  vn vc pf,  Chamber,  arr. for 2vn va vc as Op.104
 002, NaN, NaN,  087,  Piano Sonatas (3):, NaN,  1793-95,  pf,  Keyboard, NaN
 002/1, NaN, NaN,  087/1, 
 Piano Sonata No.1,  F minor,  1793-95,  pf,  Keyboard, NaN
 002/2, NaN, NaN,  087/2, 
 Piano Sonata No.2,  A major,  1794-95,  pf,  Keyboard, NaN
 002/3, NaN, NaN,  087/3, 
 Piano Sonata No.3,  C major,  1794-95,  pf,  Keyboard, NaN
 003, NaN, NaN,  105,  String Trio,  E♭ major,  1794,  vn va vc,  Chamber,  see also Op.64
 004, NaN, NaN,  115,  String Quintet,  E♭ major,  1795,  2vn 2va vc,  Chamber,  based on Op.103; see also Op.63
 005, NaN, NaN,  106,  Cello Sonatas (2), NaN,  1796,  vc pf,  Chamber, NaN
 005/1, NaN, NaN,  106/1, 
 Cello Sonata No.1,  F major,  1796,  vc pf,  Chamber, NaN
 005/2, NaN, NaN,  106/2, 
 Cello Sonata No.2,  G minor,  1796,  vc pf,  Chamber, NaN
 006, NaN, NaN,  134,  Sonata for Piano Four Hands in D major,  D major,  1796-97,  pf4h,  Keyboard, NaN
 007, NaN, NaN,  136,  Piano Sonata No.4 ('Grand Sonata'),  E♭ major,  1796-97,  pf,  Keyboard, NaN
 008, NaN, NaN,  135,  Serenade,  D major,  1796-97,  vn va vc,  Chamber, NaN
 009, NaN, NaN,  153,  String Trios (3):, NaN,  1797-98,  vn va vc,  Chamber, NaN
 009/1, NaN, NaN,  153/1, 
 String Trio,  G major,  1797-98,  vn va vc,  Chamber, NaN
 009/2, NaN, NaN,  153/2, 
 String Trio,  D major,  1797-98,  vn va vc,  Chamber, NaN
 009/3, NaN, NaN,  153/3, 
String Trio,  C minor,  1797-98,  vn va vc,  Chamber, NaN
 010, NaN, NaN,  157,  Piano Sonatas (3):, NaN,  1795-98,  pf,  Keyboard, NaN
 010/1, NaN, NaN,  157/1, 
 Piano Sonata No.5,  C minor,  1795-97,  pf,  Keyboard, NaN
 010/2, NaN, NaN,  157/2, 
 Piano Sonata No.6,  F major,  1796-97,  pf,  Keyboard, NaN
 010/3, NaN, NaN,  157/3, 
 Piano Sonata No.7,  D major,  1797-98,  pf,  Keyboard, NaN
 011, NaN, NaN,  156,  Trio in B-flat major ('Gassenhauer'),  B♭ major,  1797-98,  cl/vn vc pf,  Chamber, NaN
 012, NaN, NaN,  165,  Violin Sonatas (3):, NaN,  1797-98,  vn pf,  Chamber, NaN
 012/1, NaN, NaN,  165/1, 
 Violin Sonata No.1,  D major,  1797-98,  vn pf,  Chamber, NaN
 012/2, NaN, NaN,  165/2, 
 Violin Sonata No.2,  A major,  1797-98,  vn pf,  Chamber, NaN
 012/3, NaN, NaN,  165/3, 
 Violin Sonata No.3,  E♭ major,  1797-98,  vn pf,  Chamber, NaN
 013, NaN, NaN,  184,  Piano Sonata No.8 ('Pathétique'),  C minor,  1797-98,  pf,  Keyboard, NaN
 014, NaN, NaN, NaN,  Piano Sonatas (2):, NaN,  1798-99,  pf,  Keyboard, NaN
 014/1, NaN, NaN,  285, 
 Piano Sonata No.9,  E major,  1798-99,  pf,  Keyboard, NaN
 014/2, NaN, NaN,  284, 
 Piano Sonata No.10,  G major,  1799,  pf,  Keyboard, NaN
 015, NaN, NaN,  167,  Piano Concerto No.1,  C major,  1795-1800,  pf orch,  Orchestral, NaN
 016, NaN, NaN,  130,  Quintet in E-flat major,  E♭ major,  1796-97,  ob cl bn hn pf,  Chamber,  arr for vn va vc pf as Op.16a
 016a, NaN, NaN,  131,  Quintet in E-flat major,  E♭ major,  1796-97,  vn va vc pf,  Chamber,  arr of Op.16
 017, NaN, NaN,  206,  Horn Sonata,  F major,  1800,  hn pf,  Chamber, NaN
 018, NaN, NaN,  225/1,  String Quartets (6):, NaN,  1798-1800,  2vn va vc,  Chamber, NaN
 018/1, NaN, NaN,  225/1, 
 String Quartet No.1,  F major,  1798-1800,  2vn va vc,  Chamber, NaN
 018/2, NaN, NaN,  225/2, 
 String Quartet No.2,  G major,  1798-1800,  2vn va vc,  Chamber, NaN
 018/3, NaN, NaN,  225/3, 
 String Quartet No.3,  D major,  1798-1800,  2vn va vc,  Chamber, NaN
 018/4, NaN, NaN,  225/4, 
 String Quartet No.4,  C minor,  1798-1800,  2vn va vc,  Chamber, NaN
 018/5, NaN, NaN,  225/5, 
 String Quartet No.5,  A major,  1798-1800,  2vn va vc,  Chamber, NaN
 018/6, NaN, NaN,  225/6, 
 String Quartet No.6,  B♭ major,  1798-1800,  2vn va vc,  Chamber, NaN
 019, NaN, NaN,  166,  Piano Concerto No.2,  B♭ major,  1788-1801,  pf orch,  Orchestral, NaN
 020, NaN, NaN,  204,  Septet,  E♭ major,  1799,  cl bn hn vn va vc db,  Chamber, NaN
 021, NaN, NaN,  203,  Symphony No.1,  C major,  1799-1800,  orch,  Orchestral, NaN
 022, NaN, NaN,  208,  Piano Sonata No.11,  B♭ major,  1800,  pf,  Keyboard, NaN
 023, NaN, NaN,  293,  Violin Sonata No.4,  A minor,  1800-01,  vn pf,  Chamber, NaN
 024, NaN, NaN,  294,  Violin Sonata No.5,  F major,  1800-01,  vn pf,  Chamber, NaN
 025, NaN, NaN,  114,  Serenade,  D major,  1801,  For flute  violin  viola,  Chamber,  arr. for fl pf as Op.41
 026, NaN, NaN,  296,  Piano Sonata No.12 ('Funeral March'),  A♭ major,  1800-01,  pf,  Keyboard,  movt. III arr. for orch as WoO 96/4
 027, NaN, NaN,  297/1,  Piano Sonatas (2):, NaN,  1800-01,  pf,  Keyboard, NaN
 027/1, NaN, NaN,  297/1, 
 Piano Sonata No.13 ('Quasi una fantasia'),  E♭ major,  1800-01,  pf,  Keyboard, NaN
 027/2, NaN, NaN,  297/2, 
 Piano Sonata No.14 ('Moonlight'),  C♯ minor,  1801,  pf,  Keyboard, NaN
 028, NaN, NaN,  302,  Piano Sonata No.15 ('Pastoral'),  D major,  1801,  pf,  Keyboard, NaN
 029, NaN, NaN,  298,  String Quintet in C major ('Storm'),  C major,  1801,  2vn 2va vc,  Chamber, NaN
 030, NaN, NaN,  340,  Violin Sonatas (3):, NaN,  1801-02,  vn pf,  Chamber, NaN
 030/1, NaN, NaN,  340/1, 
 Violin Sonata No.6,  A major,  1801-02,  vn pf,  Chamber, NaN
 030/2, NaN, NaN,  340/2, 
 Violin Sonata No.7 ('Eroica'),  C minor,  1801-02,  vn pf,  Chamber, NaN
 030/3, NaN, NaN,  340/3, 
 Violin Sonata No.8,  G major,  1801-02,  vn pf,  Chamber, NaN
 031, NaN, NaN,  339,  Piano Sonatas (3):, NaN,  1802,  pf,  Keyboard, NaN
 031/1, NaN, NaN,  339/1, 
 Piano Sonata No.16,  G major,  1802,  pf,  Keyboard, NaN
 031/2, NaN, NaN,  339/3, 
 Piano Sonata No.17 ('Tempest'),  D minor,  1802,  pf,  Keyboard, NaN
 031/3, NaN, NaN,  339/2, 
 Piano Sonata No.18 ('Hunt'),  E♭ major,  1802,  pf,  Keyboard, NaN
 032, NaN, NaN,  421,  An die Hoffnung ("Die du so gern in heilgen Nächten feierst"), NaN,  1804-05,  v pf,  Vocal,  1st setting; see also Op.94
 033, NaN, NaN,  334,  Bagatelles (7), NaN,  1801-02,  pf,  Keyboard, NaN
 034, NaN, NaN,  327,  Variations (6),  F major,  1802,  pf,  Keyboard, NaN
 035, NaN, NaN,  328,  Variations and Fugue ('Eroica Variations'),  E♭ major,  1802,  pf,  Keyboard, NaN
 036, NaN, NaN,  326,  Symphony No.2,  D major,  1801-02,  orch,  Orchestral,  also arr. for vn vc pf
 036, NaN, NaN,  425,  Symphony No.2,  D major,  1805,  vn vc pf,  Chamber,  arr. of version for orch
 037, NaN, NaN,  337,  Piano Concerto No.3,  C minor,  1800-03,  pf orch,  Orchestral, NaN
 038, NaN, NaN,  376,  Trio,  E♭ major,  1802-03,  cl/vn vc pf,  Chamber,  arr. of Op. 20
 039, NaN, NaN,  375,  Preludes (2) ('par tous les 12 tons majeurs'),  C major,  1789,  pf/org,  Keyboard, NaN
 040, NaN, NaN,  329,  Romance,  G major,  1800-02,  vn orch,  Orchestral, NaN
 041, NaN,  Anh.12,  371,  Serenade,  D major,  1803,  fl pf,  Chamber,  spurious; arr. of Op.25 by Franz Xaver Kleinheinz
 042, NaN,  Anh.13,  372,  Notturno,  D major,  1803-04,  va pf,  Chamber,  spurious; arr. of Op.8 by Franz Xaver Kleinheinz
 043, NaN, NaN,  288,  Die Geschöpfe des Prometheus (The Creatures of Prometheus), NaN,  1800-01,  orch,  Stage, NaN
 044, NaN, NaN,  263,  Variations (14),  E♭ major,  1792,  vn va pf,  Chamber, NaN
 045, NaN, NaN,  377,  Marches (3), NaN,  1803,  pf4h,  Keyboard, NaN
 046, NaN, NaN,  111,  Adelaide ("Einsam wandelt dein Freund"),  B♭ major,  1794-95,  v pf,  Vocal, NaN
 047, NaN, NaN,  366,   Violin Sonata No.9 ("Kreutzer"),  A major,  1802-03,  vn pf,  Chamber, NaN
 048, NaN, NaN,  367,  Lieder (6), NaN,  1801-02,  v pf,  Vocal, NaN
 048/1, NaN, NaN,  367/1, 
 Bitten ("Gott  deine Güte reicht so weit"),  E major,  1801-02,  v pf,  Vocal, NaN
 048/2, NaN, NaN,  367/2, 
 Die Liebe des Nächsten ("So jemand spricht: Ich liebe Gott!"),  E♭ major,  1801-02,  v pf,  Vocal, NaN
 048/3, NaN, NaN,  367/3, 
 Vom Tode ("Meine Lebenszeit verstreicht"),  F♯ minor,  1801-02,  v pf,  Vocal, NaN
 048/4, NaN, NaN,  367/4, 
 Die Ehre Gottes aus der Natur ("Die Himmel rühmen des Ewigen Ehre"),  C major,  1801-02,  v pf,  Vocal, NaN
 048/5, NaN, NaN,  367/5, 
 Gottes Macht und Vorsehung ("Gott ist mein Leid!"),  C major,  1801-02,  v pf,  Vocal, NaN
 048/6, NaN, NaN,  367/6, 
 Bußlied ("An dir allein  an dir hab ich gendigt"),  A minor,  1801-02,  v pf,  Vocal, NaN
 049, NaN, NaN, NaN,  Piano Sonatas (2):, NaN,  1797,  pf,  Keyboard, NaN
 049/1, NaN, NaN,  170, 
 Piano Sonata No.19,  G minor,  1797,  pf,  Keyboard, NaN
 049/2, NaN, NaN,  120, 
 Piano Sonata No.20,  G major,  1795-96,  pf,  Keyboard, NaN
 050, NaN, NaN,  330,  Romance,  F major,  1798,  vn orch,  Orchestral, NaN
