Op.,WoO,Hess,Biamonti,Title,Key,Scoring,Genre,Comments,name,year,minor,key_note
Op. 98 No. 3,,,Biamonti 652, An die ferne Geliebte: Leichte Segler in den Höhen,, v pf,Vocal, NaN,"Op. 98 No. 3, Biamonti 652",1816.0,,
Op. 98 No. 4,,,Biamonti 652, An die ferne Geliebte: Diese Wolken in den Höhen,, v pf,Vocal, NaN,"Op. 98 No. 4, Biamonti 652",1816.0,,
Op. 98 No. 5,,,Biamonti 652, An die ferne Geliebte: Es kehret der Maien,, v pf,Vocal, NaN,"Op. 98 No. 5, Biamonti 652",1816.0,,
Op. 98 No. 6,,,Biamonti 652, An die ferne Geliebte: Nimm sie hin denn  diese Lieder,, v pf,Vocal, NaN,"Op. 98 No. 6, Biamonti 652",1816.0,,
Op. 99,,,Biamonti 655," Der Mann von Wort (""Du sagtest  Freund"")",G major, v pf,Vocal, NaN,"Op. 99, Biamonti 655",1816.0,0.0,G
Op. 100,,,Biamonti 596, Merkenstein,F major, 2vvv pf,Vocal, 2nd setting of WoO 144,"Op. 100, Biamonti 596",1815.0,0.0,F
Op. 101,,,Biamonti 656, Piano Sonata No.28,A major, pf,Keyboard, NaN,"Op. 101, Biamonti 656",1816.0,0.0,A
Op. 102 No. 1,,,Biamonti 599/1, Cello Sonatas : Cello Sonata No.4,C major, vc pf,Chamber, NaN,"Op. 102 No. 1, Biamonti 599/1",1815.0,0.0,C
Op. 102 No. 2,,,Biamonti 599/2, Cello Sonatas : Cello Sonata No.5,D major, vc pf,Chamber, NaN,"Op. 102 No. 2, Biamonti 599/2",1815.0,0.0,D
Op. 103,,,Biamonti 41, Wind Octet,E flat major, 2ob 2cl 2bn 2hn,Chamber, revised for string quintet as Op.4,"Op. 103, Biamonti 41",1793.0,0.0,E flat
Op. 104,,,Biamonti 675, String Quintet,C minor, 2vn 2va vc,Quintets, arrangement of Op.1/3,"Op. 104, Biamonti 675",1817.0,1.0,C
Op. 105 No. 1,,,Biamonti 693/1," National Airs with Variations :  Air écossais (""The Cottage Maid"")",G major, fl/vn pf,Chamber, NaN,"Op. 105 No. 1, Biamonti 693/1",1818.0,0.0,G
Op. 105 No. 2,,,Biamonti 693/2, National Airs with Variations :  Air écossais,C minor, fl/vn pf,Chamber, NaN,"Op. 105 No. 2, Biamonti 693/2",1819.0,1.0,C
Op. 105 No. 3,,,Biamonti 693/3," National Airs with Variations :  Air autrichien (""A Schsserl und a Reindel"")",C major, fl/vn pf,Chamber, NaN,"Op. 105 No. 3, Biamonti 693/3",1818.0,0.0,C
Op. 105 No. 4,,,Biamonti 693/4," National Airs with Variations :  Air écossais (""The Last Rose of Summer"")",E flat major, fl/vn pf,Chamber, NaN,"Op. 105 No. 4, Biamonti 693/4",1818.0,0.0,E flat
Op. 105 No. 5,,,Biamonti 693/5," National Airs with Variations :  Air écossais (""Chiling O'Guiry"")",E flat major, fl/vn pf,Chamber, NaN,"Op. 105 No. 5, Biamonti 693/5",1818.0,0.0,E flat
Op. 105 No. 6,,,Biamonti 693/6," National Airs with Variations :  Air écossais (""Paddy Whack"")",D major, fl/vn pf,Chamber, NaN,"Op. 105 No. 6, Biamonti 693/6",1818.0,0.0,D
Op. 106,,,Biamonti 708," Piano Sonata No.29 (""Hammerklavier"")",B flat major, pf,Keyboard, NaN,"Op. 106, Biamonti 708",1818.0,0.0,B flat
Op. 107 No. 1,,,Biamonti 694/1," National Airs with Variations : Air tirolien (""I bin a Tiroler Bua"")",, fl/vn pf,Chamber, see also WoO 158/5,"Op. 107 No. 1, Biamonti 694/1",1819.0,,
Op. 107 No. 2,,,Biamonti 694/2," National Airs with Variations : Air écossais (""Bonnie Laddie  Highland Laddie"")",, fl/vn pf,Chamber, NaN,"Op. 107 No. 2, Biamonti 694/2",1818.0,,
Op. 107 No. 3,,,Biamonti 694/3, National Airs with Variations : Air de la petite Russie,, fl/vn pf,Chamber, NaN,"Op. 107 No. 3, Biamonti 694/3",1819.0,,
Op. 107 No. 4,,,Biamonti 694/4," National Airs with Variations : Air écossais (""St. Patrick's Day"")",, fl/vn pf,Chamber, see also WoO 154/4,"Op. 107 No. 4, Biamonti 694/4",1819.0,,
Op. 107 No. 5,,,Biamonti 694/5," National Airs with Variations : Air tirolien (""A Madel  ja a Madel"")",, fl/vn pf,Chamber, see also WoO 158/6,"Op. 107 No. 5, Biamonti 694/5",1818.0,,
Op. 107 No. 6,,,Biamonti 694/6," National Airs with Variations : Air écossais (""Merch Megan"")",, fl/vn pf,Chamber, see also WoO 155/11,"Op. 107 No. 6, Biamonti 694/6",1818.0,,
Op. 107 No. 7,,,Biamonti 694/7," National Airs with Variations : Air russe (""Schöne Minka"")",, fl/vn pf,Chamber, see also WoO 158/16,"Op. 107 No. 7, Biamonti 694/7",1818.0,,
Op. 107 No. 8,,,Biamonti 694/8," National Airs with Variations : Air écossais (""O  Mary at thy Window Be"")",, fl/vn pf,Chamber, NaN,"Op. 107 No. 8, Biamonti 694/8",1818.0,,
Op. 107 No. 9,,,Biamonti 694/9," National Airs with Variations : Air écossais (""Oh  Thou art the Lad of my Heart"")",, fl/vn pf,Chamber, NaN,"Op. 107 No. 9, Biamonti 694/9",1818.0,,
Op. 107 No. 10,,,Biamonti 694/10," National Airs with Variations : Air écossais (""The Highland Watch"")",, fl/vn pf,Chamber, NaN,"Op. 107 No. 10, Biamonti 694/10",1818.0,,
Op. 108 No. 1,,,Biamonti 660/1," Scottish Songs : Music  Love and Wine (""O let me music hear  night and day!"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 1, Biamonti 660/1",1817.0,,
Op. 108 No. 2,,,Biamonti 660/2," Scottish Songs : Sunset (""The sun upon the Weirdlaw Hill"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 2, Biamonti 660/2",1818.0,,
Op. 108 No. 3,,,Biamonti 660/3, Scottish Songs : O Sweet were the Hours,, v vn vc pf,Vocal, NaN,"Op. 108 No. 3, Biamonti 660/3",1817.0,,
Op. 108 No. 4,,,Biamonti 660/4," Scottish Songs : The Maid of Isla (""O maid of Isla from yon cliff"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 4, Biamonti 660/4",1817.0,,
Op. 108 No. 5,,,Biamonti 660/5, Scottish Songs : The Sweetest Lad was Jamie,, v vn vc pf,Vocal, NaN,"Op. 108 No. 5, Biamonti 660/5",1815.0,,
Op. 108 No. 6,,,Biamonti 660/6, Scottish Songs : Dim  Dim is my Eye,, v vn vc pf,Vocal, NaN,"Op. 108 No. 6, Biamonti 660/6",1815.0,,
Op. 108 No. 7,,,Biamonti 660/7," Scottish Songs : Bonnie Laddie  Highland Laddie (""Where got ye that siller moon"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 7, Biamonti 660/7",1815.0,,
Op. 108 No. 8,,,Biamonti 660/8, Scottish Songs : The Lovely Lass of Inverness,, v vn vc pf,Vocal, NaN,"Op. 108 No. 8, Biamonti 660/8",1816.0,,
Op. 108 No. 9,,,Biamonti 660/9, Scottish Songs : Behold my Love how Green the Groves,, v vn vc pf,Vocal, NaN,"Op. 108 No. 9, Biamonti 660/9",1817.0,,
Op. 108 No. 10,,,Biamonti 660/10," Scottish Songs : Sympathy (""Why  Julia  say  that pensive mien?"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 10, Biamonti 660/10",1815.0,,
Op. 108 No. 11,,,Biamonti 660/11, Scottish Songs : O! Thou Art the Lad of my Heart,, v vn vc pf,Vocal, NaN,"Op. 108 No. 11, Biamonti 660/11",1815.0,,
Op. 108 No. 12,,,Biamonti 660/12, Scottish Songs : O  Had My Fate Been Join'd With Thine,, v vn vc pf,Vocal, NaN,"Op. 108 No. 12, Biamonti 660/12",1816.0,,
Op. 108 No. 13,,,Biamonti 660/13, Scottish Songs : Come Fill  Fill  my Good fellow!,, v vn vc pf,Vocal, NaN,"Op. 108 No. 13, Biamonti 660/13",1817.0,,
Op. 108 No. 14,,,Biamonti 660/14, Scottish Songs : O  How Can I Be Blithe and Glad,, v vn vc pf,Vocal, NaN,"Op. 108 No. 14, Biamonti 660/14",1816.0,,
Op. 108 No. 15,,,Biamonti 660/15, Scottish Songs : O Cruel Was My Father,, v vn vc pf,Vocal, NaN,"Op. 108 No. 15, Biamonti 660/15",1816.0,,
Op. 108 No. 16,,,Biamonti 660/16, Scottish Songs : Could This Ill World Have Been Contriv'd,, v vn vc pf,Vocal, NaN,"Op. 108 No. 16, Biamonti 660/16",1816.0,,
Op. 108 No. 17,,,Biamonti 660/17, Scottish Songs : O Mary  at Thy Window Be,, v vn vc pf,Vocal, NaN,"Op. 108 No. 17, Biamonti 660/17",1817.0,,
Op. 108 No. 18,,,Biamonti 660/18, Scottish Songs : Enchantress  Farewell,, v vn vc pf,Vocal, NaN,"Op. 108 No. 18, Biamonti 660/18",1818.0,,
Op. 108 No. 19,,,Biamonti 660/19, Scottish Songs : O Swiftly Glides the Bonny Boat,, v vn vc pf,Vocal, NaN,"Op. 108 No. 19, Biamonti 660/19",1815.0,,
Op. 108 No. 20,,,Biamonti 660/20, Scottish Songs : Faithfu' Johnie (When will you come again),, v vn vc pf,Vocal, NaN,"Op. 108 No. 20, Biamonti 660/20",1813.0,,
Op. 108 No. 21,,,Biamonti 660/21," Scottish Songs : Jeanie's Distress (""By William late offended"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 21, Biamonti 660/21",1817.0,,
Op. 108 No. 22,,,Biamonti 660/22," Scottish Songs : The Highland Watch (""Old Scotia  wake thy mountain strain"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 22, Biamonti 660/22",1817.0,,
Op. 108 No. 23,,,Biamonti 660/23," Scottish Songs : The Shepherd's Song (""The gowan glitters on the sward"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 23, Biamonti 660/23",1818.0,,
Op. 108 No. 24,,,Biamonti 660/24, Scottish Songs : Again  my Lyre,, v vn vc pf,Vocal, NaN,"Op. 108 No. 24, Biamonti 660/24",1815.0,,
Op. 108 No. 25,,,Biamonti 660/25," Scottish Songs : Sally in Our Alley (""Of all the girls that are so smart"")",, v vn vc pf,Vocal, NaN,"Op. 108 No. 25, Biamonti 660/25",1817.0,,
Op. 109,,,Biamonti 729, Piano Sonata No.30,E major, pf,Keyboard, NaN,"Op. 109, Biamonti 729",1820.0,0.0,E
Op. 110,,,Biamonti 739, Piano Sonata No.31,A flat major, pf,Keyboard, NaN,"Op. 110, Biamonti 739",1822.0,0.0,A flat
Op. 111,,,Biamonti 741, Piano Sonata No.32,C minor, pf,Keyboard, NaN,"Op. 111, Biamonti 741",1822.0,1.0,C
Op. 112,,,Biamonti 609, Meeresstille und glückliche Fahrt(Calm Sea & Prosperous Voyage),D major, ch orch,Orchestral, NaN,"Op. 112, Biamonti 609",1815.0,0.0,D
Op. 113,,Hess 118,Biamonti 539, Die Ruinen von Athen (The Ruins of Athens)  music to Kotzebue's drama,, vv ch orch,Stage, 1st version of Op. 114,"Op. 113, Biamonti 539",1811.0,,
Op. 114,,Hess 118,Biamonti 742, Die Ruinen von Athen (The Ruins of Athens)  music to Kotzebue's drama,, vv ch orch,Stage, 2nd version of Op. 113; includes Op. 124  WoO 98,"Op. 114, Biamonti 742",1822.0,,
Op. 115,,,Biamonti 597, Overture  'Zur Namensfeier' (Name-Day),C major, orch,Orchestral, NaN,"Op. 115, Biamonti 597",1815.0,0.0,C
Op. 116,,,Biamonti 567, Tremate  empi tremate,B flat major, 3vv orch,Vocal, NaN,"Op. 116, Biamonti 567",1814.0,0.0,B flat
Op. 117,,,Biamonti 538, König Stephan (King Stephen)  music to Kotzebue's play,E flat major, vv ch orch,Stage, NaN,"Op. 117, Biamonti 538",1811.0,0.0,E flat
Op. 118,,,Biamonti 576," Elegischer Gesang (""Sanft wie du lebtest"")",, 4vv 2vn va vc,Vocal, NaN,"Op. 118, Biamonti 576",1814.0,,
Op. 119,,,Biamonti 745, Bagatelles (11),, pf,Keyboard, NaN,"Op. 119, Biamonti 745",1822.0,,
Op. 120,,,Biamonti 774, Veränderungen über einen Walzer ('Diabelli Variations'),C major, pf,Keyboard, NaN,"Op. 120, Biamonti 774",1823.0,0.0,C
Op. 121a,,,Biamonti 654, Variations on 'Ich bin der Schneider Kakadu' (10),G major, vn va pf,Chamber, on a theme from Die Schwestern von Prag by Wenzel Müller,"Op. 121a, Biamonti 654",1816.0,0.0,G
Op. 121b,,,Biamonti 766," Opferlied (""Die Flamme lodert"")",E major, 3vv ch orch,Vocal, 3rd version of Op. 121b  WoO 126  Hess 91  Hess 145,"Op. 121b, Biamonti 766",1822.0,0.0,E
Op. 121b,,,Biamonti 790," Opferlied (""Die Flamme lodert"")",E major, 3vv ch orch,Vocal, 4th version of Op. 121b  WoO 126  Hess 91  Hess 145,"Op. 121b, Biamonti 790",1824.0,0.0,E
Op. 122,,,Biamonti 767," Bundeslied (""In allen guten Stunden"")",B flat major, 2vv ch ww br,Vocal, NaN,"Op. 122, Biamonti 767",1824.0,0.0,B flat
Op. 123,,,Biamonti 776, Missa solemnis,D major, 4vv ch org orch,Vocal, NaN,"Op. 123, Biamonti 776",1823.0,0.0,D
Op. 124,,Hess 118,Biamonti 742, Die Weihe des Hauses  overture,C major, orch,Orchestral, overture to Op.114,"Op. 124, Biamonti 742",1822.0,0.0,C
Op. 125,,,Biamonti 787, Symphony No.9,D minor, sop alt ten bass ch,Vocal, NaN,"Op. 125, Biamonti 787",1824.0,1.0,D
Op. 126,,,Biamonti 788, Bagatelles(6),, pf,Keyboard, NaN,"Op. 126, Biamonti 788",1824.0,,
Op. 127,,,Biamonti 803, String Quartet No.12,E flat major, 2vn va vc,Chamber, NaN,"Op. 127, Biamonti 803",1825.0,0.0,E flat
Op. 128,,,Biamonti 748," Der Kuß(""Ich var bei Chloen ganz allein"")",A major, v pf,Vocal, NaN,"Op. 128, Biamonti 748",1718.0,0.0,A
Op. 129,,,Biamonti 162, Rondo a capriccio ('Rage Over a Lost Penny'),G major, pf,Keyboard, NaN,"Op. 129, Biamonti 162",1795.0,0.0,G
Op. 130,,,Biamonti 830, String Quartet No.13,B flat major, 2vn va vc,Chamber, 1st version (including Op.133),"Op. 130, Biamonti 830",1825.0,0.0,B flat
Op. 130,,,Biamonti 847, String Quartet No.13,B flat major, 2vn va vc,Chamber, 2nd version,"Op. 130, Biamonti 847",1826.0,0.0,B flat
Op. 131,,,Biamonti 840, String Quartet No.14,C sharp minor, 2vn va vc,Chamber, NaN,"Op. 131, Biamonti 840",1826.0,1.0,C sharp
Op. 132,,,Biamonti 808, String Quartet No.15 ('Heiliger Dankgesang'),A minor, 2vn va vc,Chamber, NaN,"Op. 132, Biamonti 808",1825.0,1.0,A
Op. 133,,,Biamonti 830, Große Fuge,B flat major, 2vn va vc,Chamber, finale to 1st version of Op.130; arr.for pf4h as Op.134,"Op. 133, Biamonti 830",1826.0,0.0,B flat
Op. 134,,Hess 86,Biamonti 841, Große Fuge,B flat major, pf4h,Keyboard, arr. from Op.133,"Op. 134, Biamonti 841",1826.0,0.0,B flat
Op. 135,,,Biamonti 845, String Quartet No.16,F major, 2vn va vc,Chamber, NaN,"Op. 135, Biamonti 845",1826.0,0.0,F
Op. 136,,,Biamonti 581, Der glorreiche Augenblick (The Glorious Moment),, 4vv ch orch,Vocal, NaN,"Op. 136, Biamonti 581",1814.0,,
Op. 137,,,Biamonti 678, Fugue in D major,D major, 2vn va vc,Chamber, NaN,"Op. 137, Biamonti 678",1817.0,0.0,D
Op. 138,,,Biamonti 422, Leonora Overture No.1,C major, orch,Orchestral, 3rd version of Opp. 72a  72b,"Op. 138, Biamonti 422",1807.0,0.0,C
,WoO 1,,Biamonti 29, Musik zu einem Ritterballet,D major, orch,Stage, music for a ballet of knights; also arr. for pf,"WoO 1, Biamonti 29",1791.0,0.0,D
,WoO 1,Hess 89,Biamonti 30, Musik zu einem Ritterballet,D major, pf,Stage, arr. of version for orch,"WoO 1, Biamonti 30",1791.0,0.0,D
,WoO 2,,, Tarpeja  music for Christoph Kuffner's drama (2):,, orch,Stage, NaN,WoO 2,1813.0,,
,WoO 2a,Hess 117,Biamonti 553, Triumphal March,C major, orch,Stage, NaN,"WoO 2a, Biamonti 553",1813.0,0.0,C
,WoO 2b,Hess 117,Biamonti 554, Prelude to Act II,D major, orch,Stage, now thought to be from the opening of Act II of ''Leonore''  Op. 72 (2nd version),"WoO 2b, Biamonti 554",1805.0,0.0,D
,WoO 3,,Biamonti 744, Gratulations-Menuett,E flat major, orch,Orchestral, NaN,"WoO 3, Biamonti 744",1822.0,0.0,E flat
,WoO 4,,Biamonti 10, Piano Concerto,E flat major, pf orch,Orchestral, only pf part survives; completed by Willy Hess,"WoO 4, Biamonti 10",1784.0,0.0,E flat
,WoO 5,Hess 10,Biamonti 33, Violin Concerto,C major, vn orch,Orchestral, only fragment of movt. I survives; completed by Joseph Hellmesberger Sr. (1876),"WoO 5, Biamonti 33",1792.0,0.0,C
,WoO 6,,Biamonti 103, Rondo,B flat major, pf orch,Orchestral, probably original finale to Op. 19; only fragment survives  completed by Carl Czerny,"WoO 6, Biamonti 103",1793.0,0.0,B flat
,WoO 7,,Biamonti 88, Minuets (12),, orch,Orchestral, also arr. for pf,"WoO 7, Biamonti 88",1795.0,,
,WoO 7,Hess 101,Biamonti 92, Minuets (12),, pf,Keyboard, arr. of version for orch,"WoO 7, Biamonti 92",1795.0,,
,WoO 8,,Biamonti 89, German Dances (12),, orch,Orchestral, also arr. for pf,"WoO 8, Biamonti 89",1795.0,,
,WoO 8,Hess 100,Biamonti 93, German Dances (12),, pf,Keyboard, arr. of version for orch,"WoO 8, Biamonti 93",1795.0,,
,WoO 9,Hess 26,Biamonti 101, Minuets (6),, 2vn vc,Chamber, NaN,"WoO 9, Biamonti 101",1795.0,,
,WoO 10,,, Minuets (6),, orch,Orchestral, version lost; also arr. for pf,WoO 10,1795.0,,
,WoO 10,,Biamonti 102, Minuets (6),, pf,Keyboard, arr. of version for orch,"WoO 10, Biamonti 102",1795.0,,
,WoO 11,,, Ländler (7),, orch,Orchestral, version lost; also arr. for pf,WoO 11,1799.0,,
,WoO 11,Hess 27,Biamonti 163, Ländler (7),, pf,Keyboard, arr. of version for orch,"WoO 11, Biamonti 163",1799.0,,
,WoO 12,Hess 2,, Minuets(12),, orch,Orchestral, spurious; written by Beethoven's brother Karl. Have been digitized.,WoO 12,1799.0,,
,WoO 13,,, German Dances (12),, orch,Orchestral, version lost; also arr. for pf,WoO 13,1797.0,,
,WoO 13,Hess 5,Biamonti 218, German Dances (12),, pf,Keyboard, arr. of version for orch,"WoO 13, Biamonti 218",1797.0,,
,WoO 14,,Biamonti 295, Contredanses (12),, orch,Orchestral, Nos. 1  2  4  5  7  8  9  10 and 12 arr. for pf as Hess 102,"WoO 14, Biamonti 295",1718.0,,
,WoO 15,,Biamonti 324, Ländler (6),D major, 2vn vc,Chamber, also arr. for pf,"WoO 15, Biamonti 324",1802.0,0.0,D
,WoO 15,,Biamonti 325, Ländler (6),D major, pf,Keyboard, arr. of version for orch,"WoO 15, Biamonti 325",1802.0,0.0,D
,WoO 16,,, Ecossaises(12),, orch,Orchestral, spurious,WoO 16,,,
,WoO 17,Hess 20,Biamonti 710, Mödlinger Tänze (11),, 2cl 2hn 2vn db,Chamber, probably spurious,"WoO 17, Biamonti 710",1819.0,,
,WoO 18,,Biamonti 519/1, March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major, ww br perc,Orchestral, 1st version  without trio or 'Turkish' orchestration; also arr. for pf,"WoO 18, Biamonti 519/1",1810.0,0.0,F
,WoO 18,Hess 6,Biamonti 501, March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major, ww br perc,Orchestral, 2nd version  without trio  but with 'Turkish' orchestration,"WoO 18, Biamonti 501",1810.0,0.0,F
,WoO 18,Hess 99,Biamonti 504, March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major, pf,Keyboard, arr. of 1st version,"WoO 18, Biamonti 504",1810.0,0.0,F
,WoO 18,Hess 7,Biamonti 780, March ('Marsch für die bohmische Landwehr') ('Yorckscher Marsch'),F major, ww br perc,Orchestral, 3rd version  with trio and 'Turkish' orchestration,"WoO 18, Biamonti 780",1822.0,0.0,F
,WoO 19,,Biamonti 519/2, March,F major, ww br perc,Orchestral, 1st version  without trio or 'Turkish' orchestration; also arr. for pf,"WoO 19, Biamonti 519/2",1810.0,0.0,F
,WoO 19,Hess 8,Biamonti 517, March,F major, ww br perc,Orchestral, 2nd version  without trio  but with 'Turkish' orchestration,"WoO 19, Biamonti 517",1810.0,0.0,F
,WoO 19,Hess 9,Biamonti 781, March,F major, ww br perc,Orchestral, 3rd version  with trio and 'Turkish' orchestration,"WoO 19, Biamonti 781",1822.0,0.0,F
,WoO 20,,Biamonti 525, March ('Zapfenstreich') ('The Tattoo'),C major, ww br perc,Orchestral, 1st version  without trio,"WoO 20, Biamonti 525",1809.0,0.0,C
,WoO 20,,Biamonti 525, March ('Zapfenstreich') ('The Tattoo'),C major, ww br perc,Orchestral, 2nd version  with trio,"WoO 20, Biamonti 525",1822.0,0.0,C
,WoO 21,,Biamonti 520, Polonaise,D major, ww br perc,Orchestral, NaN,"WoO 21, Biamonti 520",1810.0,0.0,D
,WoO 22,,Biamonti 521, Ecossaise,D major, ww br perc,Orchestral, NaN,"WoO 22, Biamonti 521",1810.0,0.0,D
,WoO 23,,Biamonti 532, Ecossaise,G major, ww br perc,Orchestral, lost; only know in arr. for pf by Carl Czerny,"WoO 23, Biamonti 532",1810.0,0.0,G
,WoO 24,,Biamonti 653, March,D major, ww br perc,Orchestral, NaN,"WoO 24, Biamonti 653",1816.0,0.0,D
,WoO 25,,Biamonti 40, Rondino,E flat major, 2ob 2cl 2bn 2hn,Chamber, originally intended as finale to Op. 103,"WoO 25, Biamonti 40",1793.0,0.0,E flat
,WoO 26,Hess 17,Biamonti 32, Duo for 2 flutes,G major, 2fl,Chamber, NaN,"WoO 26, Biamonti 32",1792.0,0.0,G
,WoO 27,,Biamonti 39, Duets (3),, cl bn,Chamber, Beethoven's authorship doubtful; also arr. for vn vc,"WoO 27, Biamonti 39",1718.0,,
,WoO 27,,Biamonti 39, Duets (3),, vn vc,Chamber, Beethoven's authorship doubtful; arr. from version for cl bn,"WoO 27, Biamonti 39",1718.0,,
,WoO 28,Hess 18,, Variations on 'Là ci darem la mano'  WoO 28 (8),C major, 2ob eh,Chamber, theme from Don Giovanni  K.527  by Wolfgang Amadeus Mozart,WoO 28,1795.0,0.0,C
,WoO 29,,Biamonti 440, March for Wind Sextet in B-flat major('Grenadiermarsch'),B flat major, 2cl 2bn 2hn,Chanber, music re-used in Hess 107; also arr. for pf,"WoO 29, Biamonti 440",1798.0,0.0,B flat
,WoO 29,Hess 87,, March for Wind Sextet in B-flat major('Grenadiermarsch'),B flat major, pf,Keyboard, arr. of version for wind sextet,WoO 29,1798.0,0.0,B flat
,WoO 30,,Biamonti 548, Equali (3),, 4tbn,Chamber, also arr. for mch,"WoO 30, Biamonti 548",1812.0,,
,WoO 30,,, Equali (3),, mch,Chamber, arr. from version for 4tbn; Beethoven's authorship uncertain,WoO 30,1812.0,,
,WoO 31,,Biamonti 6, Fugue,D major, org,Keyboard, NaN,"WoO 31, Biamonti 6",1783.0,0.0,D
,WoO 32,Hess 22-24,Biamonti 161, Duet mit zwei obligaten Augengläsern ('Duet with 2 obbligato eyeglasses'),E flat major, va vc,Chamber, movt. II incomplete,"WoO 32, Biamonti 161",1797.0,0.0,E flat
,WoO 33,Hess 103-106,Biamonti 197-200, Pieces for Musical Clock (or for flute) (5),, mech/fl,Chamber, NaN,"WoO 33, Biamonti 197-200",1718.0,,
,WoO 33b,Hess 106-107,Biamonti NaN, Pieces (2),,,, NaN,"WoO 33b, Biamonti NaN",1795.0,,
,WoO 34,Hess 42,Biamonti 740, Duet,A major, 2vn,Chamber, NaN,"WoO 34, Biamonti 740",1822.0,0.0,A
,WoO 35,Hess 273,Biamonti 809, Canon,A major, 2vn/2vc,Chamber, NaN,"WoO 35, Biamonti 809",1825.0,0.0,A
,WoO 36 No. 1,,Biamonti 12/1, Piano Quartets: Piano Quartet No.1 in E-flat major,E flat major, vn va vc pf,Chamber, one theme also used in Hess 298,"WoO 36 No. 1, Biamonti 12/1",1785.0,0.0,E flat
,WoO 36 No. 2,,Biamonti 12/2, Piano Quartets: Piano Quartet No.2 in D major,D major, vn va vc pf,Chamber, NaN,"WoO 36 No. 2, Biamonti 12/2",1785.0,0.0,D
,WoO 36 No. 3,,Biamonti 12/3, Piano Quartets: Piano Quartet No.3 in C major,C major, vn va vc pf,Chamber, some music re-used in Op.2/1 and Op. 2/3,"WoO 36 No. 3, Biamonti 12/3",1785.0,0.0,C
,WoO 37,,Biamonti 19, Trio,G major, fl bn pf,Chamber, NaN,"WoO 37, Biamonti 19",1790.0,0.0,G
,WoO 38,,Biamonti 31, Piano Trio in E-flat major,E flat major, vn vc pf,Chamber, NaN,"WoO 38, Biamonti 31",1791.0,0.0,E flat
,WoO 39,,Biamonti 542, Allegretto,B flat major, vn vc pf,Chamber, NaN,"WoO 39, Biamonti 542",1812.0,0.0,B flat
,WoO 40,,Biamonti 46, Variations on 'Se vuol ballare' (12),F major, vn pf,Chamber, theme from the opera [[Le nozze di Figaro  K.492 (Mozart  Wolfgang Amadeus  {{{4}}})|Le nozze di Figaro]]  K.492  by [[:Category:Mozart  Wolfgang Amadeus  {{{4}}}|{{{4}}} Mozart  Wolfgang Amadeus]],"WoO 40, Biamonti 46",1793.0,0.0,F
,WoO 41,,Biamonti 57, Rondo,G major, vn pf,Chamber, NaN,"WoO 41, Biamonti 57",1794.0,0.0,G
,WoO 42,,Biamonti 112, German Dances (6),, vn pf,Chamber, NaN,"WoO 42, Biamonti 112",1796.0,,
,WoO 43a,,Biamonti 121, Sonatina,C minor, mand hpd,Chamber, NaN,"WoO 43a, Biamonti 121",1796.0,1.0,C
,WoO 43b,,Biamonti 122, Adagio,E flat major, mand hpd,Chamber, 1st version,"WoO 43b, Biamonti 122",1796.0,0.0,E flat
,WoO 43b,Hess 44,Biamonti 123, Adagio,E flat major, mand hpd,Chamber, 2nd version,"WoO 43b, Biamonti 123",,0.0,E flat
,WoO 44a,Hess 43,Biamonti 124, Sonatina,C major, mand hpd,Chamber, NaN,"WoO 44a, Biamonti 124",1796.0,0.0,C
,WoO 44b,Hess 45,Biamonti 125, Andante con Variazioni,D major, mand hpd,Chamber, NaN,"WoO 44b, Biamonti 125",1796.0,0.0,D
,WoO 45,,Biamonti 126, Variations on 'See the conqu'ring hero comes' (12),G major, vc pf,Chamber, theme from the oratorio Judas Maccabaeus  HWV 63  by George Frideric Handel,"WoO 45, Biamonti 126",1796.0,0.0,G
,WoO 46,,Biamonti 300, Variations on 'Bei Männern  welche Liebe fühlen' (7),E flat major, vc pf,Chamber, theme from the opera Die Zauberflöte  K.620  by Wolfgang Amadeus Mozart,"WoO 46, Biamonti 300",1801.0,0.0,E flat
,WoO 47 No. 1,,Biamonti 2/1, Piano Sonatas ('Electoral') ('Kurfürstensonate'): Piano Sonata,E flat major, pf,Keyboard, NaN,"WoO 47 No. 1, Biamonti 2/1",1783.0,0.0,E flat
,WoO 47 No. 2,,Biamonti 2/2, Piano Sonatas ('Electoral') ('Kurfürstensonate'): Piano Sonata,F minor, pf,Keyboard, NaN,"WoO 47 No. 2, Biamonti 2/2",1783.0,1.0,F
,WoO 47 No. 3,,Biamonti 2/3, Piano Sonatas ('Electoral') ('Kurfürstensonate'): Piano Sonata,D major, pf,Keyboard, NaN,"WoO 47 No. 3, Biamonti 2/3",1783.0,0.0,D
