title
Bia 15: Song "Der Arme Componist" (1788)
Bia 16: Cello part to the Lost Cadenza for Leopold Cantata WoO 88
Bia 43: Song "Meine Mutter fragt mich immer: trinkst du?" 1792
Bia 48: Anglaise for piano for G minor (1792)
Bia 238: Presto in F major (1800)
Bia 249: Minuet for orchestra in D major (1800)
Bia 252: Minuet for orchestra in D major (1800)
Bia 269: Andante molto for piano in E flat major
Bia 272: Andante for piano in B flat major (1793)
Bia 274: Andante for String Quartet in C major (1793)
Bia 277: Presto for piano in G major (1793)
Bia 279: Allegro for piano in C major (1793)
Bia 291: Andante for a symphony (1801)
Bia 292: March with variations (1801)
Bia 319: Finale for piano (1802)
Bia 322: Piece for piano in C minor (1802)
Bia 323: Piece for piano (1802)
Bia 346: Fuga Antique for piano in C major (1803)
Bia 347: Passage for piano through all the keys (1803)
Bia 359: Rondo for "all the instruments" (1803)
Bia 380: Song "Zur Erde sank die Ruh’ vom Himmel Nieder" (1803)
Bia 383: Exercise for piano
Bia 389: Piece viola and cello and horn & double bass (1803)
Bia 392: Rondo for piano (1803)
Bia 447: Passage for piano (1808)
Bia 547: Symphony No. 8 with the original ending of Hess 1 (1812)
Bia 606: Andante for pizzicati basses with clarinets in B minor (1815)
Bia 621: Allemande for piano (1815)
Bia 622: Pastorella for piano in C major (1815)
Bia 624: Etude. study of prosody on a text of Homer (1815)
Bia 632: Song "Die Zufrieddenheit" (1815)
Bia 634: German dance for piano trio in F minor (1815)
Bia 638: Exercise for piano (1815)
Bia 797: Adagio for String Quartet in E major (1824)
Bia 811: Canon in C minor (1825)
Bia 849: Draft for piano (last notes written by Beethoven) (1827)
